Instrument;Performance;Parameters;Total net profit;Gross profit;Gross loss;Profit factor;Max. drawdown;Total # of trades;Percent profitable
FDAX 12-21;1,125642311;40;50125;449075;-398950;1,125642311;-11875;4867;0,256420793
FDAX 12-21;1,124712644;38;48825;440325;-391500;1,124712644;-16800;4832;0,258278146
FDAX 12-21;1,124077284;39;48325;437800;-389475;1,124077284;-14450;4761;0,258349086
FDAX 12-21;1,097495318;48;41650;468850;-427200;1,097495318;-27300;4990;0,250501002
FDAX 12-21;1,097464342;46;39975;450125;-410150;1,097464342;-17250;4818;0,251764218
FDAX 12-21;1,093234219;41;37000;433850;-396850;1,093234219;-12250;4800;0,254166667
FDAX 12-21;1,091736783;37;36525;434675;-398150;1,091736783;-16650;4877;0,255279885
FDAX 12-21;1,087506695;32;32675;406075;-373400;1,087506695;-19375;4711;0,262364678
FDAX 12-21;1,078540164;42;31850;437375;-405525;1,078540164;-20950;4881;0,247695144
FDAX 12-21;1,077904762;36;30675;424425;-393750;1,077904762;-23575;4826;0,256941567
FDAX 12-21;1,076097272;45;32075;453575;-421500;1,076097272;-20175;5009;0,253942903
FDAX 12-21;1,069017599;33;26275;406975;-380700;1,069017599;-21850;4731;0,259987318
FDAX 12-21;1,066747061;50;27675;442300;-414625;1,066747061;-32275;4817;0,248494914
FDAX 12-21;1,066686783;43;27625;441875;-414250;1,066686783;-27625;4875;0,247794872
FDAX 12-21;1,060871117;47;25575;445725;-420150;1,060871117;-21800;4888;0,247135843
FDAX 12-21;1,05397039;35;20050;391550;-371500;1,05397039;-21275;4581;0,261733246
FDAX 12-21;1,047029999;44;19675;438025;-418350;1,047029999;-23375;4982;0,247089522
FDAX 12-21;1,045885021;31;17200;392050;-374850;1,045885021;-22075;4691;0,261991047
FDAX 12-21;1,038281726;30;14125;383100;-368975;1,038281726;-24150;4635;0,263430421
FDAX 12-21;1,037523931;28;14700;406450;-391750;1,037523931;-30200;4755;0,259936909
FDAX 12-21;1,037425743;34;14175;392925;-378750;1,037425743;-23750;4619;0,263260446
FDAX 12-21;1,030723139;49;13075;438650;-425575;1,030723139;-33175;4934;0,250101338
FDAX 12-21;1,019264661;27;7925;419300;-411375;1,019264661;-29675;4926;0,26410881
FDAX 12-21;1,015069755;29;5725;385625;-379900;1,015069755;-30475;4716;0,262086514
FDAX 12-21;1,012188928;23;4800;398600;-393800;1,012188928;-28300;4708;0,27357689
FDAX 12-21;0,997333333;25;-1075;402050;-403125;0,997333333;-33025;4765;0,26841553
FDAX 12-21;0,991641003;20;-3325;394450;-397775;0,991641003;-41225;4701;0,283343969
FDAX 12-21;0,977687257;26;-9175;402025;-411200;0,977687257;-38375;4872;0,26272578
FDAX 12-21;0,976840671;24;-9350;394375;-403725;0,976840671;-35850;4852;0,269373454
FDAX 12-21;0,969138448;22;-12600;395675;-408275;0,969138448;-36350;4813;0,276958238
FDAX 12-21;0,963953629;21;-14925;399125;-414050;0,963953629;-36900;4846;0,281675609
FDAX 12-21;0,95801328;17;-16125;367925;-384050;0,95801328;-45350;4606;0,283977421
FDAX 12-21;0,948255586;19;-19800;362850;-382650;0,948255586;-50600;4452;0,279649596
FDAX 12-21;0,947726223;18;-19800;358975;-378775;0,947726223;-45325;4413;0,279401768
FDAX 12-21;0,939417178;15;-21725;336875;-358600;0,939417178;-51800;4314;0,284191006
